PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	MURPHY, GL; MEDIN, DL					Medin, Douglas/0000-0003-4372-7202			THE ROLE OF THEORIES IN CONCEPTUAL COHERENCE								PSYCHOLOGICAL REVIEW				92	3			289	316		10.1037/0033-295X.92.3.289				1985	1985																		0033-295X	1939-1471		WOS:A1985AKX3100001	4023146	
J	NELSON, DL; WALLING, JR; MCEVOY, CL								DOUBTS ABOUT DEPTH								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN LEARNING AND MEMORY				5	1			24	44		10.1037/0278-7393.5.1.24				1979	1979																		0096-1515			WOS:A1979GE73300003		
J	NISBETT, RE; WILSON, TD				Wilson, Timothy D./F-4980-2015	Wilson, Timothy D./0000-0001-7102-2491			TELLING MORE THAN WE CAN KNOW - VERBAL REPORTS ON MENTAL PROCESSES								PSYCHOLOGICAL REVIEW				84	3			231	259		10.1037/0033-295X.84.3.231				1977	1977																		0033-295X	1939-1471		WOS:A1977DE32100001		
J	NOSOFSKY, RM								CHOICE, SIMILARITY, AND THE CONTEXT THEORY OF CLASSIFICATION								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				10	1			104	114		10.1037/0278-7393.10.1.104				1984	1984																		0278-7393			WOS:A1984SD55100009	6242730	
J	OAKSFORD, M; CHATER, N					Oaksford, Mike/0000-0003-3383-3642			A RATIONAL ANALYSIS OF THE SELECTION TASK AS OPTIMAL DATA SELECTION								PSYCHOLOGICAL REVIEW				101	4			608	631		10.1037/0033-295X.101.4.608				OCT 1994	1994																		0033-295X			WOS:A1994PM91500004		
J	PARSONS, LM								IMAGINED SPATIAL TRANSFORMATIONS OF ONES HANDS AND FEET								COGNITIVE PSYCHOLOGY				19	2			178	241		10.1016/0010-0285(87)90011-9				APR 1987	1987																		0010-0285			WOS:A1987G866700002	3581757	
J	PARSONS, LM								IMAGINED SPATIAL TRANSFORMATION OF ONES BODY								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL				116	2			172	191		10.1037/0096-3445.116.2.172				JUN 1987	1987																		0096-3445			WOS:A1987H277700007	2955072	
J	PENNINGTON, N; HASTIE, R								EXPLAINING THE EVIDENCE - TESTS OF THE STORY MODEL FOR JUROR DECISION-MAKING								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				62	2			189	206		10.1037/0022-3514.62.2.189				FEB 1992	1992																		0022-3514			WOS:A1992HC60200001		
J	PETERSON, MA; GIBSON, BS								SHAPE-RECOGNITION INPUTS TO FIGURE GROUND ORGANIZATION IN 3-DIMENSIONAL DISPLAYS								COGNITIVE PSYCHOLOGY				25	3			383	429		10.1006/cogp.1993.1010				JUL 1993	1993																		0010-0285			WOS:A1993LL89800004		
J	POTTER, MC; KROLL, JF; YACHZEL, B; CARPENTER, E; SHERMAN, J				Kroll, Judith/A-1164-2011	Kroll, Judith/0000-0002-7951-0702			PICTURES IN SENTENCES - UNDERSTANDING WITHOUT WORDS								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL				115	3			281	294		10.1037/0096-3445.115.3.281				SEP 1986	1986																		0096-3445			WOS:A1986D875600006	2944988	
J	POTTER, MC; VALIAN, VV; FAULCONER, BA					Valian, Virginia/0000-0002-2128-5856			REPRESENTATION OF A SENTENCE AND ITS PRAGMATIC IMPLICATIONS - VERBAL, IMAGISTIC, OR ABSTRACT								JOURNAL OF VERBAL LEARNING AND VERBAL BEHAVIOR				16	1			1	12		10.1016/S0022-5371(77)80002-9				1977	1977																		0022-5371			WOS:A1977DC96100001		
J	POTTER, MC; FAULCONER, BA								TIME TO UNDERSTAND PICTURES AND WORDS								NATURE				253	5491			437	438		10.1038/253437a0				1975	1975																		0028-0836	1476-4687		WOS:A1975V469200032	1110787	
J	PYLYSHYN, ZW								WHAT MINDS EYE TELLS MINDS BRAIN - CRITIQUE OF MENTAL IMAGERY								PSYCHOLOGICAL BULLETIN				80	1			1	24		10.1037/h0034650				1973	1973																		0033-2909			WOS:A1973Q204400001		
J	PYLYSHYN, ZW								THE IMAGERY DEBATE - ANALOG MEDIA VERSUS TACIT KNOWLEDGE								PSYCHOLOGICAL REVIEW				88	1			16	45		10.1037/0033-295X.88.1.16				1981	1981																		0033-295X			WOS:A1981LE60400002		
J	Reed, CL; Vinson, NG					Reed, Catherine/0000-0002-3499-0677			Conceptual effects on representational momentum								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE				22	4			839	850		10.1037/0096-1523.22.4.839				AUG 1996	1996																		0096-1523			WOS:A1996VC62000003	8756955	
J	Rinck, M; Hahnel, A; Bower, GH; Glowalla, U				Rinck, Mike/A-6944-2010				The metrics of spatial situation models								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				23	3			622	637		10.1037/0278-7393.23.3.622				MAY 1997	1997																		0278-7393			WOS:A1997WY39700006	9165708	
J	ROSCH, E; MERVIS, CB; GRAY, WD; JOHNSON, DM; BOYESBRAEM, P				Gray, Wayne D./J-8160-2019; Gray, Wayne D/C-1809-2008	Gray, Wayne D./0000-0002-1704-7433; Gray, Wayne D/0000-0002-1704-7433			BASIC OBJECTS IN NATURAL CATEGORIES								COGNITIVE PSYCHOLOGY				8	3			382	439		10.1016/0010-0285(76)90013-X				1976	1976																		0010-0285			WOS:A1976BX21400005		
J	ROSLER, F; HEIL, M; HENNIGHAUSEN, E				Heil, Martin/B-9444-2008	Heil, Martin/0000-0003-1245-9954			DISTINCT CORTICAL ACTIVATION PATTERNS DURING LONG-TERM-MEMORY RETRIEVAL OF VERBAL, SPATIAL, AND COLOR INFORMATION								JOURNAL OF COGNITIVE NEUROSCIENCE				7	1			51	65		10.1162/jocn.1995.7.1.51				WIN 1995	1995																		0898-929X			WOS:A1995QF59000004	23961753	
J	ROSS, BH; PERKINS, SJ; TENPENNY, PL								REMINDING-BASED CATEGORY LEARNING								COGNITIVE PSYCHOLOGY				22	4			460	492		10.1016/0010-0285(90)90010-2				OCT 1990	1990																		0010-0285			WOS:A1990EC40300002		
J	ROTH, JD; KOSSLYN, SM								CONSTRUCTION OF THE 3RD DIMENSION IN MENTAL-IMAGERY								COGNITIVE PSYCHOLOGY				20	3			344	361		10.1016/0010-0285(88)90003-5				JUL 1988	1988																		0010-0285			WOS:A1988N954600003	3208507	
J	Rushworth, MFS; Owen, AM				Owen, Adrian/B-4997-2015	Rushworth, Matthew/0000-0002-5578-9884			The functional organization of the lateral frontal cortex: conjecture or conjuncture in the electrophysiology literature?								TRENDS IN COGNITIVE SCIENCES				2	2			46	53		10.1016/S1364-6613(98)01127-9				FEB 1998	1998																		1364-6613			WOS:000078870700003	21227065	
J	SACHS, JS								MEMORY IN READING AND LISTENING TO DISCOURSE								MEMORY & COGNITION				2	1A			95	100		10.3758/BF03197498				1974	1974																		0090-502X			WOS:A1974S319500017	24214705	
J	SACHS, JS								RECOGNITION MEMORY FOR SYNTACTIC AND SEMANTIC ASPECTS OF CONNECTED DISCOURSE								PERCEPTION & PSYCHOPHYSICS				2	9			437	442		10.3758/BF03208784				1967	1967																		0031-5117			WOS:A1967ZK99800011		
J	Samuel, AG				Samuel, Arthur G./Q-4683-2019	, Arthur Gary Samuel/0000-0001-8552-2710			Lexical activation produces potent phonemic percepts								COGNITIVE PSYCHOLOGY				32	2			97	127		10.1006/cogp.1997.0646				MAR 1997	1997																		0010-0285			WOS:A1997WQ82200001	9095679	
J	SAMUEL, AG				Samuel, Arthur G./Q-4683-2019	, Arthur Gary Samuel/0000-0001-8552-2710			PHONEMIC RESTORATION - INSIGHTS FROM A NEW METHODOLOGY								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL				110	4			474	494		10.1037/0096-3445.110.4.474				1981	1981																		0096-3445			WOS:A1981MS97800002	6459403	
J	SAMUEL, AG				Samuel, Arthur G./Q-4683-2019	, Arthur Gary Samuel/0000-0001-8552-2710			LEXICAL UNIQUENESS EFFECTS ON PHONEMIC RESTORATION								JOURNAL OF MEMORY AND LANGUAGE				26	1			36	56		10.1016/0749-596X(87)90061-1				FEB 1987	1987																		0749-596X			WOS:A1987F761100003		
J	SCHNEIDER, W; SHIFFRIN, RM								CONTROLLED AND AUTOMATIC HUMAN INFORMATION-PROCESSING .1. DETECTION, SEARCH, AND ATTENTION								PSYCHOLOGICAL REVIEW				84	1			1	66		10.1037/0033-295X.84.1.1				1977	1977																		0033-295X			WOS:A1977CT86800001		
J	SCHWANENFLUGEL, PJ; FABRICIUS, WV; NOYES, CR; BIGLER, KD; ALEXANDER, JM								THE ORGANIZATION OF MENTAL VERBS AND FOLK THEORIES OF KNOWING								JOURNAL OF MEMORY AND LANGUAGE				33	3			376	395		10.1006/jmla.1994.1018				JUN 1994	1994						32nd Annual Meeting of the Psychonomic-Society32nd Annual Meeting of the Psychonomic-Society	NOV, 1991NOV, 1991	Psychon SocPsychon Soc	SAN FRANCISCO, CASAN FRANCISCO, CA									0749-596X			WOS:A1994NP28000005		
J	Schyns, PG; Goldstone, RL; Thibaut, JP				Schyns, Philippe/C-8127-2009	Thibaut, Jean-Pierre/0000-0002-3645-6742			The development of features in object concepts								BEHAVIORAL AND BRAIN SCIENCES				21	1			1	+		10.1017/S0140525X98000107				FEB 1998	1998																		0140-525X	1469-1825		WOS:000074116800001	10097010	
J	SEARLE, JR								MINDS, BRAINS, AND PROGRAMS								BEHAVIORAL AND BRAIN SCIENCES				3	3			417	425		10.1017/S0140525X00006038				1980	1980																		0140-525X			WOS:A1980KR48700060		
J	Seifert, LS								Activating representations in permanent memory: Different benefits for pictures and words								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				23	5			1106	1121		10.1037/0278-7393.23.5.1106				SEP 1997	1997						68th Annual Meeting of the Midwestern-Psychological-Association68th Annual Meeting of the Midwestern-Psychological-Association	MAY   03, 1996MAY   03, 1996	Midwestern Psychol AssocMidwestern Psychol Assoc	CHICAGO, ILCHICAGO, IL									0278-7393			WOS:A1997XU35800003	9293624	
J	SHANON, B								THE NON-ABSTRACTNESS OF MENTAL REPRESENTATIONS								NEW IDEAS IN PSYCHOLOGY				5	1			117	126		10.1016/0732-118X(87)90048-1				1987	1987																		0732-118X			WOS:A1987J271800010		
J	SHAVER, P; SCHWARTZ, J; KIRSON, D; OCONNOR, C								EMOTION KNOWLEDGE - FURTHER EXPLORATION OF A PROTOTYPE APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				52	6			1061	1086		10.1037/0022-3514.52.6.1061				JUN 1987	1987																		0022-3514			WOS:A1987H577600001	3598857	
J	SHEPARD, RN; METZLER, J								MENTAL ROTATION OF 3-DIMENSIONAL OBJECTS								SCIENCE				171	3972			701	&		10.1126/science.171.3972.701				1971	1971																		0036-8075			WOS:A1971I524200030	5540314	
J	SHIFFRAR, M; FREYD, JJ				Galantucci, Bruno/E-5770-2010; Freyd, Jennifer J/B-2312-2009				TIMING AND APPARENT MOTION PATH CHOICE WITH HUMAN-BODY PHOTOGRAPHS								PSYCHOLOGICAL SCIENCE				4	6			379	384		10.1111/j.1467-9280.1993.tb00585.x				NOV 1993	1993																		0956-7976			WOS:A1993MF61300007		
J	SHIFFRAR, M; FREYD, JJ				Freyd, Jennifer J/B-2312-2009; Galantucci, Bruno/E-5770-2010				APPARENT MOTION OF THE HUMAN-BODY								PSYCHOLOGICAL SCIENCE				1	4			257	264		10.1111/j.1467-9280.1990.tb00210.x				JUL 1990	1990																		0956-7976			WOS:A1990EG38600010		
J	SHIFFRIN, RM; SCHNEIDER, W								CONTROLLED AND AUTOMATIC HUMAN INFORMATION-PROCESSING .2. PERCEPTUAL LEARNING, AUTOMATIC ATTENDING, AND A GENERAL THEORY								PSYCHOLOGICAL REVIEW				84	2			127	190		10.1037/0033-295X.84.2.127				1977	1977																		0033-295X	1939-1471		WOS:A1977CY52700001		
J	SMITH, LB; JONES, SS; LANDAU, B								COUNT NOUNS, ADJECTIVES, AND PERCEPTUAL PROPERTIES IN CHILDRENS NOVEL WORD INTERPRETATIONS								DEVELOPMENTAL PSYCHOLOGY				28	2			273	286						MAR 1992	1992																		0012-1649			WOS:A1992HJ98700010		
J	SMITH, VC; POKORNY, J; STARR, SJ								VARIABILITY OF COLOR MIXTURE DATA .1. INTEROBSERVER VARIABILITY IN UNIT COORDINATES								VISION RESEARCH				16	10			1087	1094		10.1016/0042-6989(76)90247-9				1976	1976																		0042-6989			WOS:A1976CD10800009	1086024	
J	SNODGRASS, JG; VANDERWART, M								STANDARDIZED SET OF 260 PICTURES - NORMS FOR NAME AGREEMENT, IMAGE AGREEMENT, FAMILIARITY, AND VISUAL COMPLEXITY								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN LEARNING AND MEMORY				6	2			174	215		10.1037/0278-7393.6.2.174				1980	1980																		0096-1515			WOS:A1980JJ83800008	7373248	
J	SNODGRASS, JG								CONCEPTS AND THEIR SURFACE REPRESENTATIONS								JOURNAL OF VERBAL LEARNING AND VERBAL BEHAVIOR				23	1			3	22						1984	1984																		0022-5371			WOS:A1984SD99200002		
J	SPALDING, TL; ROSS, BH								COMPARISON-BASED LEARNING - EFFECTS OF COMPARING INSTANCES DURING CATEGORY LEARNING								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				20	6			1251	1263		10.1037/0278-7393.20.6.1251				NOV 1994	1994																		0278-7393			WOS:A1994PP52100001	7983463	
J	SPELKE, ES; BREINLINGER, K; MACOMBER, J; JACOBSON, K				Jacobson, Kristen C/D-2064-2009				ORIGINS OF KNOWLEDGE								PSYCHOLOGICAL REVIEW				99	4			605	632		10.1037/0033-295X.99.4.605				OCT 1992	1992																		0033-295X			WOS:A1992JU94300002	1454901	
J	SQUIRE, LR; KNOWLTON, B; MUSEN, G								THE STRUCTURE AND ORGANIZATION OF MEMORY								ANNUAL REVIEW OF PSYCHOLOGY				44				453	495		10.1146/annurev.ps.44.020193.002321				1993	1993																		0066-4308	1545-2085		WOS:A1993KL13500014	8434894	
J	TALMY, L								FORCE DYNAMICS IN LANGUAGE AND COGNITION								COGNITIVE SCIENCE				12	1			49	100		10.1016/0364-0213(88)90008-0				JAN-MAR 1988	1988																		0364-0213			WOS:A1988N153400002		
J	TARR, MJ; PINKER, S								MENTAL ROTATION AND ORIENTATION-DEPENDENCE IN SHAPE-RECOGNITION								COGNITIVE PSYCHOLOGY				21	2			233	282		10.1016/0010-0285(89)90009-1				APR 1989	1989																		0010-0285			WOS:A1989U236200005	2706928	
J	THEIOS, J; AMRHEIN, PC								THEORETICAL-ANALYSIS OF THE COGNITIVE PROCESSING OF LEXICAL AND PICTORIAL STIMULI - READING, NAMING, AND VISUAL AND CONCEPTUAL COMPARISONS								PSYCHOLOGICAL REVIEW				96	1			5	24		10.1037/0033-295X.96.1.5				JAN 1989	1989																		0033-295X	1939-1471		WOS:A1989R891000001	2928419	
J	TOMASELLO, M; KRUGER, AC; RATNER, HH				Galantucci, Bruno/E-5770-2010	Kruger, Ann/0000-0002-2974-6370			CULTURAL LEARNING								BEHAVIORAL AND BRAIN SCIENCES				16	3			495	511		10.1017/S0140525X0003123X				SEP 1993	1993																		0140-525X	1469-1825		WOS:A1993LX95400033		
J	TOOTELL, RBH; SILVERMAN, MS; SWITKES, E; DEVALOIS, RL								DEOXYGLUCOSE ANALYSIS OF RETINOTOPIC ORGANIZATION IN PRIMATE STRIATE CORTEX								SCIENCE				218	4575			902	904		10.1126/science.7134981				1982	1982																		0036-8075			WOS:A1982PQ71700031	7134981	
J	TREISMAN, AM				Brennan, Kathy/D-6118-2011				STRATEGIES AND MODELS OF SELECTIVE ATTENTION								PSYCHOLOGICAL REVIEW				76	3			282	&		10.1037/h0027242				1969	1969																		0033-295X			WOS:A1969D263900003	4893203	
J	TVERSKY, B; HEMENWAY, K								OBJECTS, PARTS, AND CATEGORIES								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL				113	2			169	193		10.1037/0096-3445.113.2.169				1984	1984																		0096-3445			WOS:A1984ST15600001	6242749	
J	VELMANS, M								IS HUMAN INFORMATION-PROCESSING CONSCIOUS								BEHAVIORAL AND BRAIN SCIENCES				14	4			651	668		10.1017/S0140525X00071776				DEC 1991	1991																		0140-525X	1469-1825		WOS:A1991GX82700055		
J	VONECKARDT, B; POTTER, MC								CLAUSES AND THE SEMANTIC REPRESENTATION OF WORDS								MEMORY & COGNITION				13	4			371	376		10.3758/BF03202505				1985	1985																		0090-502X			WOS:A1985AUM7400008	4079753	
J	WARREN, RM								PERCEPTUAL RESTORATION OF MISSING SPEECH SOUNDS								SCIENCE				167	3917			392	&		10.1126/science.167.3917.392				1970	1970																		0036-8075			WOS:A1970F148000029	5409744	
J	WARRINGTON, EK; SHALLICE, T								CATEGORY SPECIFIC SEMANTIC IMPAIRMENTS								BRAIN				107	SEP			829	854		10.1093/brain/107.3.829				1984	1984																		0006-8950	1460-2156		WOS:A1984TK30100008	6206910	
J	Watson, JB								Psychology as the behaviorist views it								PSYCHOLOGICAL REVIEW				20	2			158	177		10.1037/0033-295X.101.2.248				MAY 1913	1913																		0033-295X			WOS:000200141700005		
J	WEISSTEIN, N; MONTALVO, F; OZOG, G								DIFFERENTIAL ADAPTATION TO GRATINGS BLOCKED BY CUBES AND GRATINGS BLOCKED BY HEXAGONS - TEST OF NEURAL SYMBOLIC ACTIVITY HYPOTHESIS								PSYCHONOMIC SCIENCE				27	2			89	+						1972	1972																					WOS:A1972M625500008		
J	WEISSTEIN, N; HARRIS, CS								VISUAL DETECTION OF LINE SEGMENTS - OBJECT-SUPERIORITY EFFECT								SCIENCE				186	4165			752	755		10.1126/science.186.4165.752				1974	1974																		0036-8075	1095-9203		WOS:A1974U643700026	4417613	
J	WELLS, GL; GAVANSKI, I				Wells, Gary/I-4815-2015				MENTAL SIMULATION OF CAUSALITY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				56	2			161	169		10.1037/0022-3514.56.2.161				FEB 1989	1989																		0022-3514			WOS:A1989T083700002		
J	WILSON, SG; RINCK, M; MCNAMARA, TP; BOWER, GH; MORROW, DG				Rinck, Mike/A-6944-2010				MENTAL MODELS AND NARRATIVE COMPREHENSION - SOME QUALIFICATIONS								JOURNAL OF MEMORY AND LANGUAGE				32	2			141	154		10.1006/jmla.1993.1008				APR 1993	1993																		0749-596X			WOS:A1993KW12200001		
J	Zatorre, RJ; Halpern, AR; Perry, DW; Meyer, E; Evans, AC				Halpern, Andrea/B-7099-2009	Halpern, Andrea/0000-0001-6384-6490			Hearing in the mind's ear: A PET investigation of musical imagery and perception								JOURNAL OF COGNITIVE NEUROSCIENCE				8	1			29	46		10.1162/jocn.1996.8.1.29				JAN 1996	1996																		0898-929X	1530-8898		WOS:A1996UB45900003	23972234	
