PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	CraverLemley, C; Arterberry, ME; Reeves, A								Effects of imagery on vernier acuity under conditions of induced depth								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE				23	1			3	13						FEB 1997	1997						16th European Conference on Visual Perception16th European Conference on Visual Perception	AUG 25-29, 1993AUG 25-29, 1993		EDINBURGH, SCOTLANDEDINBURGH, SCOTLAND									0096-1523			WOS:A1997WF08900001	9157187	
J	DAMASIO, AR				Damasio, Antonio/AAD-1342-2019				TIME-LOCKED MULTIREGIONAL RETROACTIVATION - A SYSTEMS-LEVEL PROPOSAL FOR THE NEURAL SUBSTRATES OF RECALL AND RECOGNITION								COGNITION				33	1-2			25	62		10.1016/0010-0277(89)90005-X				NOV 1989	1989																		0010-0277	1873-7838		WOS:A1989CB43700002	2691184	
J	DENNETT, DC; KINSBOURNE, M								TIME AND THE OBSERVER - THE WHERE AND WHEN OF CONSCIOUSNESS IN THE BRAIN								BEHAVIORAL AND BRAIN SCIENCES				15	2			183	201		10.1017/S0140525X00068229				JUN 1992	1992																		0140-525X			WOS:A1992HZ68800001		
J	DESCHAUMESMOLINARO, C; DITTMAR, A; VERNETMAURY, E								AUTONOMIC NERVOUS-SYSTEM RESPONSE PATTERNS CORRELATE WITH MENTAL-IMAGERY								PHYSIOLOGY & BEHAVIOR				51	5			1021	1027		10.1016/0031-9384(92)90086-H				MAY 1992	1992																		0031-9384			WOS:A1992HY28500020	1615039	
J	Edelman, S								Representation is representation of similarities								BEHAVIORAL AND BRAIN SCIENCES				21	4			449	+		10.1017/S0140525X98001253				AUG 1998	1998																		0140-525X	1469-1825		WOS:000076909200001	10097019	
J	FARAH, MJ								IS VISUAL-IMAGERY REALLY VISUAL - OVERLOOKED EVIDENCE FROM NEUROPSYCHOLOGY								PSYCHOLOGICAL REVIEW				95	3			307	317		10.1037/0033-295X.95.3.307				JUL 1988	1988																		0033-295X			WOS:A1988P157700001	3043530	
J	Fauconnier, G; Turner, M				Brennan, Kathy/D-6118-2011				Conceptual integration networks								COGNITIVE SCIENCE				22	2			133	187		10.1016/S0364-0213(99)80038-X				APR-JUN 1998	1998																		0364-0213	1551-6709		WOS:000074797100001		
J	FODOR, JA; PYLYSHYN, ZW								CONNECTIONISM AND COGNITIVE ARCHITECTURE - A CRITICAL ANALYSIS								COGNITION				28	1-2			3	71		10.1016/0010-0277(88)90031-5				MAR 1988	1988																		0010-0277			WOS:A1988L942300002	2450716	
J	FREYD, JJ				Freyd, Jennifer J/B-2312-2009				DYNAMIC MENTAL REPRESENTATIONS								PSYCHOLOGICAL REVIEW				94	4			427	438		10.1037/0033-295X.94.4.427				OCT 1987	1987																		0033-295X			WOS:A1987K370500003	3317470	
J	Frith, C; Dolan, RJ				Frith, Chris D/A-2171-2009	Frith, Chris D/0000-0002-8665-0690; Dolan, Ray/0000-0001-9356-761X			Brain mechanisms associated with top-down processes in perception								PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				352	1358			1221	1230		10.1098/rstb.1997.0104				AUG 29 1997	1997																		0962-8436	1471-2970		WOS:A1997XU80500011	9304688	
