Source,Target,Type,Appearance
"Anholt, G.","Greenberg, L.",Directed,1
"Ortu, D.","Lane, R.",Directed,1
"Ortu, D.","Ryan, L.",Directed,1
"Ortu, D.","Nadel, L.",Directed,1
"Ortu, D.","Greenberg, L.",Directed,1
"Pascual-Leone, A.","Lane, R.",Directed,1
"Pascual-Leone, A.","Ryan, L.",Directed,1
"Pascual-Leone, A.","Nadel, L.",Directed,1
"Pascual-Leone, A.","Greenberg, L.",Directed,1
"Pascual-Leone, J.","Lane, R.",Directed,1
"Pascual-Leone, J.","Ryan, L.",Directed,1
"Pascual-Leone, J.","Nadel, L.",Directed,1
"Pascual-Leone, J.","Greenberg, L.",Directed,1
"Patihis, L.","Lane, R.",Directed,1
"Patihis, L.","Ryan, L.",Directed,1
"Patihis, L.","Nadel, L.",Directed,1
"Patihis, L.","Greenberg, L.",Directed,1
"Reyna, V.","Lane, R.",Directed,1
"Reyna, V.","Ryan, L.",Directed,1
"Reyna, V.","Nadel, L.",Directed,1
"Reyna, V.","Greenberg, L.",Directed,1
"Landa, Y.","Lane, R.",Directed,1
"Landa, Y.","Ryan, L.",Directed,1
"Landa, Y.","Nadel, L.",Directed,1
"Landa, Y.","Greenberg, L.",Directed,1
"Roache, R.","Lane, R.",Directed,1
"Roache, R.","Ryan, L.",Directed,1
"Roache, R.","Nadel, L.",Directed,1
"Roache, R.","Greenberg, L.",Directed,1
"Solms, M.","Lane, R.",Directed,1
"Solms, M.","Ryan, L.",Directed,1
"Solms, M.","Nadel, L.",Directed,1
"Solms, M.","Greenberg, L.",Directed,1
"Spanagel, R.","Lane, R.",Directed,1
"Spanagel, R.","Ryan, L.",Directed,1
"Spanagel, R.","Nadel, L.",Directed,1
"Spanagel, R.","Greenberg, L.",Directed,1
"Bohus, M.","Lane, R.",Directed,1
"Bohus, M.","Ryan, L.",Directed,1
"Bohus, M.","Nadel, L.",Directed,1
"Bohus, M.","Greenberg, L.",Directed,1
"Staniloiu, A.","Lane, R.",Directed,1
"Staniloiu, A.","Ryan, L.",Directed,1
"Staniloiu, A.","Nadel, L.",Directed,1
"Staniloiu, A.","Greenberg, L.",Directed,1
"Zaretsky, A.","Lane, R.",Directed,1
"Zaretsky, A.","Ryan, L.",Directed,1
"Zaretsky, A.","Nadel, L.",Directed,1
"Zaretsky, A.","Greenberg, L.",Directed,1
"Stein, M.","Lane, R.",Directed,1
"Stein, M.","Ryan, L.",Directed,1
"Stein, M.","Nadel, L.",Directed,1
"Stein, M.","Greenberg, L.",Directed,1
"Rohde, K.","Lane, R.",Directed,1
"Rohde, K.","Ryan, L.",Directed,1
"Rohde, K.","Nadel, L.",Directed,1
"Rohde, K.","Greenberg, L.",Directed,1
"Henke, K.","Lane, R.",Directed,1
"Henke, K.","Ryan, L.",Directed,1
"Henke, K.","Nadel, L.",Directed,1
"Henke, K.","Greenberg, L.",Directed,1
"Von Hecker, U.","Lane, R.",Directed,1
"Von Hecker, U.","Ryan, L.",Directed,1
"Von Hecker, U.","Nadel, L.",Directed,1
"Von Hecker, U.","Greenberg, L.",Directed,1
"McIntosh, D.","Lane, R.",Directed,1
"McIntosh, D.","Ryan, L.",Directed,1
"McIntosh, D.","Nadel, L.",Directed,1
"McIntosh, D.","Greenberg, L.",Directed,1
"Sedek, G.","Lane, R.",Directed,1
"Sedek, G.","Ryan, L.",Directed,1
"Sedek, G.","Nadel, L.",Directed,1
"Sedek, G.","Greenberg, L.",Directed,1
"Whelton, W.","Lane, R.",Directed,1
"Whelton, W.","Ryan, L.",Directed,1
"Whelton, W.","Nadel, L.",Directed,1
"Whelton, W.","Greenberg, L.",Directed,1
"Abrams, M.","Kline, M.",Directed,1
"Badets, A.","Kline, M.",Directed,1
"Osiurak, F.","Kline, M.",Directed,1
"Beck, S.","Kline, M.",Directed,1
"Caro, T.","Kline, M.",Directed,1
"Chouinard-Thuly, L.","Kline, M.",Directed,1
"Reader, S.","Kline, M.",Directed,1
"Corriveau, K.","Kline, M.",Directed,1
"Dean, L.","Kline, M.",Directed,1
"Kendal, R.","Kline, M.",Directed,1
"Eshchar, Y.","Kline, M.",Directed,1
"Fragaszy, D.","Kline, M.",Directed,1
"Fogarty, L.","Kline, M.",Directed,1
"Gärdenfors, P.","Kline, M.",Directed,1
"Högberg, A.","Kline, M.",Directed,1
"Hernik, M.","Kline, M.",Directed,1
"Gergely, G.","Kline, M.",Directed,1
"Jacquet, J.","Kline, M.",Directed,1
"Johnston, A.","Kline, M.",Directed,1
"McAuliffe, K.","Kline, M.",Directed,1
"Santos, L.","Kline, M.",Directed,1
"Kim, H.","Kline, M.",Directed,1
"Torres-Garcia, A.","Kline, M.",Directed,1
"Swain, J.","Kline, M.",Directed,1
"Koenig, M.","Kline, M.",Directed,1
"Kruger, A.","Kline, M.",Directed,1
"Lancy, D.","Kline, M.",Directed,1
"Marin, L.","Kline, M.",Directed,1
"Moore, R.","Kline, M.",Directed,1
"Tennie, C.","Kline, M.",Directed,1
"Müller, C.","Kline, M.",Directed,1
"Nielsen, M.","Kline, M.",Directed,1
"Shipton, C.","Kline, M.",Directed,1
"Palagi, E.","Kline, M.",Directed,1
"Stanyon, R.","Kline, M.",Directed,1
"Demuru, E.","Kline, M.",Directed,1
"Pasquinelli, E.","Kline, M.",Directed,1
"Zalla, T.","Kline, M.",Directed,1
"Gvodzic, K.","Kline, M.",Directed,1
"Potier-Watkins, C.","Kline, M.",Directed,1
"Piazza, M.","Kline, M.",Directed,1
"Paulus, M.","Kline, M.",Directed,1
"Kim, S.","Kline, M.",Directed,1
"Sodian, B.","Kline, M.",Directed,1
"Poddiakov, A.","Kline, M.",Directed,1
"Rapaport, L.","Kline, M.",Directed,1
"Ravignani, A.","Kline, M.",Directed,1
"Sonnweber, R.","Kline, M.",Directed,1
"Ridley, A.","Kline, M.",Directed,1
"Ashton, B.","Kline, M.",Directed,1
"Rogoff, B.","Kline, M.",Directed,1
"Ronfard, S.","Kline, M.",Directed,1
"Harris, P.","Kline, M.",Directed,1
"Scheel, M.","Kline, M.",Directed,1
"Shaw, H.","Kline, M.",Directed,1
"Gardner, R.","Kline, M.",Directed,1
"Scott-Phillips, T.","Kline, M.",Directed,1
"Sperber, D.","Kline, M.",Directed,1
"Shafto, M.","Kline, M.",Directed,1
"Seifert, C.","Kline, M.",Directed,1
"Sharkey, A.","Kline, M.",Directed,1
"Smaldino, P.","Kline, M.",Directed,1
"Newton, E.","Kline, M.",Directed,1
"Strauss, S.","Kline, M.",Directed,1
"Ziv, M.","Kline, M.",Directed,1
"Frye, D.","Kline, M.",Directed,1
"Tatone, D.","Kline, M.",Directed,1
"Csibra, G.","Kline, M.",Directed,1
"Thornton, A.","Kline, M.",Directed,1
"Raihani, N.","Kline, M.",Directed,1
"Bos, P.","Pessoa, L.",Directed,1
"Brummelman, E.","Pessoa, L.",Directed,1
"Terburg, D.","Pessoa, L.",Directed,1
"Egidi, G.","Pessoa, L.",Directed,1
"Foster, M.","Pessoa, L.",Directed,1
"Keane, M.","Pessoa, L.",Directed,1
"Froese, T.","Pessoa, L.",Directed,1
"Gardiner, M.","Pessoa, L.",Directed,1
"Greening, S.","Pessoa, L.",Directed,1
"Mather, M.","Pessoa, L.",Directed,1
"Kiverstein, J.","Pessoa, L.",Directed,1
"Miller, M.","Pessoa, L.",Directed,1
"LoBue, V.","Pessoa, L.",Directed,1
"Manfrinati, A.","Pessoa, L.",Directed,1
"Montemayor, C.","Pessoa, L.",Directed,1
"Olds, J.","Pessoa, L.",Directed,1
"Marewski, J.","Pessoa, L.",Directed,1
"Pascual-Leone, J.","Pessoa, L.",Directed,1
"Pascual-Leone, A.","Pessoa, L.",Directed,1
"Arsalidou, M.","Pessoa, L.",Directed,1
"Petrolini, V.","Pessoa, L.",Directed,1
"Pezzulo, G.","Pessoa, L.",Directed,1
"Barca, L.","Pessoa, L.",Directed,1
"Friston, K.","Pessoa, L.",Directed,1
"Shackman, A.","Pessoa, L.",Directed,1
"Fox, A.","Pessoa, L.",Directed,1
"Seminowicz, D.","Pessoa, L.",Directed,1
"Todd, R.","Pessoa, L.",Directed,1
"Thompson, E.","Pessoa, L.",Directed,1
"Verweij, M.","Pessoa, L.",Directed,1
"Senior, T.","Pessoa, L.",Directed,1
"Vuilleumier, P.","Pessoa, L.",Directed,1
"Winkielman, P.","Pessoa, L.",Directed,1
"Inzlicht, M.","Pessoa, L.",Directed,1
"Harmon-Jones, E.","Pessoa, L.",Directed,1
"Beer, J.","Kalisch, R.",Directed,1
"Beer, J.","Müller, M.",Directed,1
"Beer, J.","Tüscher, O.",Directed,1
"Flagan, T.","Kalisch, R.",Directed,1
"Flagan, T.","Müller, M.",Directed,1
"Flagan, T.","Tüscher, O.",Directed,1
"Bennett, K.","Kalisch, R.",Directed,1
"Bennett, K.","Müller, M.",Directed,1
"Bennett, K.","Tüscher, O.",Directed,1
"Windle, G.","Kalisch, R.",Directed,1
"Windle, G.","Müller, M.",Directed,1
"Windle, G.","Tüscher, O.",Directed,1
"Boden, J.","Kalisch, R.",Directed,1
"Boden, J.","Müller, M.",Directed,1
"Boden, J.","Tüscher, O.",Directed,1
"McLeod, G.","Kalisch, R.",Directed,1
"McLeod, G.","Müller, M.",Directed,1
"McLeod, G.","Tüscher, O.",Directed,1
"Brummelman, E.","Kalisch, R.",Directed,1
"Brummelman, E.","Müller, M.",Directed,1
"Brummelman, E.","Tüscher, O.",Directed,1
"Walton, G.","Kalisch, R.",Directed,1
"Walton, G.","Müller, M.",Directed,1
"Walton, G.","Tüscher, O.",Directed,1
"Carver, C.","Kalisch, R.",Directed,1
"Carver, C.","Müller, M.",Directed,1
"Carver, C.","Tüscher, O.",Directed,1
"Scheier, M.","Kalisch, R.",Directed,1
"Scheier, M.","Müller, M.",Directed,1
"Scheier, M.","Tüscher, O.",Directed,1
"Chang, L.","Kalisch, R.",Directed,1
"Chang, L.","Müller, M.",Directed,1
"Chang, L.","Tüscher, O.",Directed,1
"Reddan, M.","Kalisch, R.",Directed,1
"Reddan, M.","Müller, M.",Directed,1
"Reddan, M.","Tüscher, O.",Directed,1
"Ashar, Y.","Kalisch, R.",Directed,1
"Ashar, Y.","Müller, M.",Directed,1
"Ashar, Y.","Tüscher, O.",Directed,1
"Eisenbarth, H.","Kalisch, R.",Directed,1
"Eisenbarth, H.","Müller, M.",Directed,1
"Eisenbarth, H.","Tüscher, O.",Directed,1
"Wager, T.","Kalisch, R.",Directed,1
"Wager, T.","Müller, M.",Directed,1
"Wager, T.","Tüscher, O.",Directed,1
"Crespi, B.","Kalisch, R.",Directed,1
"Crespi, B.","Müller, M.",Directed,1
"Crespi, B.","Tüscher, O.",Directed,1
"Egloff, B.","Kalisch, R.",Directed,1
"Egloff, B.","Müller, M.",Directed,1
"Egloff, B.","Tüscher, O.",Directed,1
"Freund, A.","Kalisch, R.",Directed,1
"Freund, A.","Müller, M.",Directed,1
"Freund, A.","Tüscher, O.",Directed,1
"Staudinger, U.","Kalisch, R.",Directed,1
"Staudinger, U.","Müller, M.",Directed,1
"Staudinger, U.","Tüscher, O.",Directed,1
"Grecucci, A.","Kalisch, R.",Directed,1
"Grecucci, A.","Müller, M.",Directed,1
"Grecucci, A.","Tüscher, O.",Directed,1
"Job, R.","Kalisch, R.",Directed,1
"Job, R.","Müller, M.",Directed,1
"Job, R.","Tüscher, O.",Directed,1
"Hermans, E.","Kalisch, R.",Directed,1
"Hermans, E.","Müller, M.",Directed,1
"Hermans, E.","Tüscher, O.",Directed,1
"Fernández, G.","Kalisch, R.",Directed,1
"Fernández, G.","Müller, M.",Directed,1
"Fernández, G.","Tüscher, O.",Directed,1
"IJzerman, H.","Kalisch, R.",Directed,1
"IJzerman, H.","Müller, M.",Directed,1
"IJzerman, H.","Tüscher, O.",Directed,1
"Lindenberg, S.","Kalisch, R.",Directed,1
